"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC","ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","NoDevCommits","Number of committers","NoPreviousModifications","bug"
"L116","CompletableFuture.java","src/main/java/jsr166e/CompletableFuture.java","L115","584","0","60","5","2225","3315","L109","CompletableFuture.java","src/main/java/jsr166e/CompletableFuture.java","L108","584","0","2225","0","4735","1","4","0"
"L117","CompletionException.java","src/main/java/jsr166e/CompletionException.java","L115","1","0","3","0","14","62","L110","CompletionException.java","src/main/java/jsr166e/CompletionException.java","L108","1","0","14","0","4735","1","1","0"
"L118","ConcurrentHashMapV8.java","src/main/java/jsr166e/ConcurrentHashMapV8.java","L115","1049","0","93","19","4244","6309","L111","ConcurrentHashMapV8.java","src/main/java/jsr166e/ConcurrentHashMapV8.java","L108","1049","0","4244","0","4735","1","5","0"
"L119","CountedCompleter.java","src/main/java/jsr166e/CountedCompleter.java","L115","28","0","18","0","158","751","L112","CountedCompleter.java","src/main/java/jsr166e/CountedCompleter.java","L108","28","0","158","0","4735","1","3","0"
"L120","DoubleAdder.java","src/main/java/jsr166e/DoubleAdder.java","L115","13","0","11","0","88","199","L113","DoubleAdder.java","src/main/java/jsr166e/DoubleAdder.java","L108","13","0","88","0","4735","1","2","0"
"L121","DoubleMaxUpdater.java","src/main/java/jsr166e/DoubleMaxUpdater.java","L115","18","0","11","0","88","194","L114","DoubleMaxUpdater.java","src/main/java/jsr166e/DoubleMaxUpdater.java","L108","18","0","88","0","4735","1","2","0"
"L122","ForkJoinPool.java","src/main/java/jsr166e/ForkJoinPool.java","L115","524","0","40","0","1705","3345","L115","ForkJoinPool.java","src/main/java/jsr166e/ForkJoinPool.java","L108","524","0","1705","0","4735","1","4","0"
"L123","ForkJoinTask.java","src/main/java/jsr166e/ForkJoinTask.java","L115","160","0","32","2","723","1555","L116","ForkJoinTask.java","src/main/java/jsr166e/ForkJoinTask.java","L108","160","0","723","0","4735","1","3","0"
"L124","ForkJoinWorkerThread.java","src/main/java/jsr166e/ForkJoinWorkerThread.java","L115","4","0","4","0","38","124","L117","ForkJoinWorkerThread.java","src/main/java/jsr166e/ForkJoinWorkerThread.java","L108","4","0","38","0","4735","1","2","0"
"L125","LongAdder.java","src/main/java/jsr166e/LongAdder.java","L115","13","0","13","0","85","200","L118","LongAdder.java","src/main/java/jsr166e/LongAdder.java","L108","13","0","85","0","4735","1","2","0"
"L126","LongAdderTable.java","src/main/java/jsr166e/LongAdderTable.java","L115","7","0","16","0","62","190","L119","LongAdderTable.java","src/main/java/jsr166e/LongAdderTable.java","L108","7","0","62","0","4735","1","2","0"
"L127","LongMaxUpdater.java","src/main/java/jsr166e/LongMaxUpdater.java","L115","18","0","11","0","83","184","L120","LongMaxUpdater.java","src/main/java/jsr166e/LongMaxUpdater.java","L108","18","0","83","0","4735","1","2","0"
"L128","RecursiveAction.java","src/main/java/jsr166e/RecursiveAction.java","L115","1","0","2","0","11","165","L121","RecursiveAction.java","src/main/java/jsr166e/RecursiveAction.java","L108","1","0","11","0","4735","1","1","0"
"L129","RecursiveTask.java","src/main/java/jsr166e/RecursiveTask.java","L115","1","0","1","1","16","70","L122","RecursiveTask.java","src/main/java/jsr166e/RecursiveTask.java","L108","1","0","16","0","4735","1","2","0"
"L130","StampedLock.java","src/main/java/jsr166e/StampedLock.java","L115","306","0","27","0","810","1420","L123","StampedLock.java","src/main/java/jsr166e/StampedLock.java","L108","306","0","810","0","4735","1","4","0"
"L131","Striped64.java","src/main/java/jsr166e/Striped64.java","L115","35","0","0","0","174","342","L124","Striped64.java","src/main/java/jsr166e/Striped64.java","L108","35","0","174","0","4735","1","2","0"
"L4627","AtomicDouble.java","src/main/java/jsr166e/extra/AtomicDouble.java","L4626","11","0","16","0","114","281","L4602","AtomicDouble.java","src/main/java/jsr166e/extra/AtomicDouble.java","L4601","11","0","114","0","4735","1","4","0"
